Name,Team,Position,Week,Opponent,Salary,Snap%,TmSnaps,OppSnap,Proj Snaps,FPts/Snap,ProjPts,Proj Value
Davante Adams,LV,WR,1,LAC,8100,79.4,63.64705882,66.39493671,51.62667223,0.25,18.55692803,2.290978769
Justin Jefferson,MIN,WR,1,GB,7800,88.9,63.70588235,63.12888889,56.37805582,0.219,14.29523933,1.832722991
Deebo Samuel,SF,WR,1,CHI,7400,76,61.48618267,63.25562701,47.40188768,0.316,17.86534734,2.414236127
Ja'Marr Chase,CIN,WR,1,PIT,7100,85.5,61.62304348,65.54693878,54.36516741,0.238,15.43802636,2.174369909
Keenan Allen,LAC,WR,1,LV,7000,81.3,66.39493671,63.64705882,52.86207118,0.156,9.921708366,1.417386909
Tyreek Hill,MIA,WR,1,NE,6800,72.6,64.66187683,61.93593074,45.95500415,0.214,14.0944229,2.07270925
Mike Williams,LAC,WR,1,LV,6600,74.9,66.39493671,63.64705882,48.70072733,0.19,11.1328596,1.686796909
Terry McLaurin,WAS,WR,1,JAX,6500,89.6,62.92238806,60.54229249,55.31217689,0.135,11.50018151,1.769258693
A.J. Brown,PHI,WR,1,DET,6400,62.3,63.19256757,62.06030769,39.01627064,0.195,10.40834528,1.62630395
Jaylen Waddle,MIA,WR,1,NE,6400,78.2,64.66187683,61.93593074,49.49974276,0.157,11.13789988,1.740296856
Brandin Cooks,HOU,WR,1,IND,6300,78,59.51785714,61.81374723,47.3193257,0.171,11.23822208,1.783844775
Marquise Brown,ARI,WR,1,KC,6200,74.4,66.20579065,66.6225,49.41212412,0.146,9.29255168,1.498798658
Tee Higgins,CIN,WR,1,PIT,6100,64.6,61.62304348,65.54693878,41.07590427,0.204,9.997959927,1.639009824
Amon-Ra St. Brown,DET,WR,1,PHI,6100,74,62.06030769,63.19256757,46.34356385,0.168,10.873246,1.782499345
Diontae Johnson,PIT,WR,1,CIN,6000,84.1,65.54693878,61.62304348,53.47497754,0.17,10.84238852,1.807064753
DJ Moore,CAR,WR,1,CLE,6000,86.3,65.12302632,61.91117479,54.81525778,0.146,11.0807782,1.846796367
Amari Cooper,CLE,WR,1,CAR,5900,68,61.91117479,65.12302632,43.19162837,0.161,7.976865635,1.352011125
Hunter Renfrow,LV,WR,1,LAC,5800,66.5,63.64705882,66.39493671,43.23896351,0.206,12.80661749,2.208037498
Darnell Mooney,CHI,WR,1,SF,5700,87.9,63.25562701,61.48618267,54.82402535,0.141,8.691759072,1.524870013
Allen Lazard,GB,WR,1,MIN,5600,64.2,63.12888889,63.70588235,40.71396157,0.143,7.290046126,1.301793951
Robert Woods,TEN,WR,1,NYG,5600,84.6,66.51980907,61.86046512,54.30485598,0.17,11.23453099,2.006166249
DeVonta Smith,PHI,WR,1,DET,5500,81.8,63.19256757,62.06030769,51.22842598,0.133,9.321031537,1.694733007
Michael Pittman Jr.,IND,WR,1,HOU,5500,88,61.81374723,59.51785714,53.38590592,0.154,11.07753919,2.014098035
Adam Thielen,MIN,WR,1,GB,5400,73,63.70588235,63.12888889,46.2946915,0.175,9.3800783,1.737051537
DeAndre Hopkins,ARI,WR,1,KC,5400,63.6,66.20579065,66.6225,42.23939643,0.188,10.22878755,1.894219918
Rashod Bateman,BAL,WR,1,NYJ,5300,67.6,69.81395349,60.82322581,44.1553666,0.095,6.38153209,1.204062658
JuJu Smith-Schuster,KC,WR,1,ARI,5200,68.9,66.6225,66.20579065,45.75934613,0.089,5.124126473,0.9854089371
Brandon Aiyuk,SF,WR,1,CHI,5200,83,61.48618267,63.25562701,51.76785102,0.126,7.779638677,1.496084361
Elijah Moore,NYJ,WR,1,BAL,5100,45.5,60.82322581,69.81395349,29.71995829,0.2,8.583653279,1.68306927
Christian Kirk,JAX,WR,1,WAS,5100,76.2,60.54229249,62.92238806,47.04004329,0.146,12.11433736,2.375360266
Chase Claypool,PIT,WR,1,CIN,5000,70.2,65.54693878,61.62304348,44.63666377,0.131,6.974104587,1.394820917
Jarvis Landry,NO,WR,1,ATL,5000,65.2,61.78956044,59.13865815,39.42259926,0.152,8.40517125,1.68103425
Sterling Shepard,NYG,WR,1,TEN,4900,37.8,61.86046512,66.51980907,24.26387182,0.121,4.568880071,0.9324245044
